ptr,OA167605170004,OA167610250008,OA169801260002,OA171205270002,OA17120527a0002,OA171607130001,OA171607130006,OA171907220006,OA172805200003,OA172805200004,OA173210090001,OA173304250033,OA175807010004,OA176009150017,16751013003,16811207001,16961014001,17070115003,183812310011,191211050051
Year,1676,1676,1698,1712,1712,1716,1716,1719,1728,1728,1732,1733,1758,1760,1675,1681,1696,1707,1838,1912
AWS CER,0.76396,1.2735,0.7497,0.16005,0.99028,0.134,0.58163,0.3542,0.73842,0.7605,0.26056,0.14121,0.72,0.75898,0.70768,0.14859,0.68491,0.72893,0.089888,0.20119
AWS Time,4675,1982,7351,4913,4470,4057,5919,4846,10114,10625,3355,5634,4301,5345,3319,6898,5418,5489,5260,4498
Azure CER,0.16244,1.0328,0.23451,0.36748,0.99989,0.67608,0.80458,0.35468,0.7395,0.70552,0.223,0.31124,0.95671,0.12174,0.82257,0.3581,0.3955,0.53974,0.31348,0.29428
Azure Time,539,270,1006,968,2374,1569,1211,829,1219,1095,1208,1998,660,617,1059,832,1185,908,514,470
GCP CER,0.78354,1.3162,0.72395,0.17414,0.77362,0.13953,0.59186,0.32844,0.76642,0.79218,0.21127,0.17291,0.73753,0.77358,0.5622,0.40495,0.72117,0.9501,0.1868,0.20619
GCP Time,1103,747,1578,1080,2242,1365,1750,1092,2257,2042,1315,1230,897,1376,1723,2689,2933,1573,1053,877
